ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
AHS-61,ahs61,Air Rel. Humidity Sensor,Telosb49.txt,2,%RH,AB-1,Airbox1&2,Telosb49 Ch 2,Telosb49,Sensirion Sht11 sensor,Humidity,Air humidity at air diffuser near AirBox1,Telosb49,49,AHS-61 Air Humidity At Air Diffuser Near Airbox1,AHS-61 Air Humidity At Diffuser Near Airbox1,x
AHS-62,ahs62,Air Rel. Humidity Sensor,Telosb50.txt,2,%RH,AB-2,Airbox1&2,Telosb50 Ch 2,Telosb50,Sensirion Sht11 sensor,Humidity,Air humidity at air diffuser near AirBox2,Telosb50,50,AHS-62 Air Humidity At Air Diffuser Near Airbox2,AHS-62 Air Humidity At Diffuser Near Airbox2,
AHS-71,ahs71,Air Rel. Humidity Sensor,Sht751.txt,2,%RH,AB-1,Airbox1&2,Sht751 Ch 2,Sht751,Sensirion Sht75 sensor,Humidity,input air humidity for Airbox1,Telosb25,25,AHS-71 Input Air Humidity For Airbox1,AHS-71 Input Air Humidity For Airbox1,x
AHS-72,ahs72,Air Rel. Humidity Sensor,Sht752.txt,2,%RH,AB-1,Airbox1&2,Sht752 Ch 2,Sht752,Sensirion Sht75 sensor,Humidity,output air humidity for Airbox1,Telosb25,25,AHS-72 Output Air Humidity For Airbox1,AHS-72 Output Air Humidity For Airbox1,x
AHS-73,ahs73,Air Rel. Humidity Sensor,Sht753.txt,2,%RH,AB-2,Airbox1&2,Sht753 Ch 2,Sht753,Sensirion Sht75 sensor,Humidity,input air humidity for Airbox2,Telosb26,26,AHS-73 Input Air Humidity For Airbox2,AHS-73 Input Air Humidity For Airbox2,
AHS-74,ahs74,Air Rel. Humidity Sensor,Sht754.txt,2,%RH,AB-2,Airbox1&2,Sht754 Ch 2,Sht754,Sensirion Sht75 sensor,Humidity,output air humidity for Airbox2,Telosb26,26,AHS-74 Output Air Humidity For Airbox2,AHS-74 Output Air Humidity For Airbox2,
AHS-91,ahs91,Air Rel. Humidity Sensor,Telosb53.txt,2,%RH,None,Airbox1&2,Telosb53 Ch 2,Telosb53,Sensirion Sht11 sensor,Humidity,Outdoor air humidity at Telosb53,Telosb53,53,AHS-91 Outdoor Air Humidity At Telosb53,AHS-91 Outdoor Air Humidity Outside of AB-1,x
AHS-92,ahs92,Air Rel. Humidity Sensor,Telosb54.txt,2,%RH,None,Airbox1&2,Telosb54 Ch 2,Telosb54,Sensirion Sht11 sensor,Humidity,Outdoor air humidity at Telosb54,Telosb54,54,AHS-92 Outdoor Air Humidity At Telosb54,AHS-92 Outdoor Air Humidity At Telosb54,
ATS-21,ats21,Air Temp. Sensor,Airbox21.txt,1,DegC,AB-1,Airbox1&2,Airbox21 Temp,Airbox1 controller,Airbox controller,Inside Temp,Inside Temp for Airbox1,Telosb21,21,ATS-21 Inside Temp For Airbox1,ATS-21 Inside Temp For Airbox1,
ATS-22,ats22,Air Temp. Sensor,Airbox22.txt,1,DegC,AB-2,Airbox1&2,Airbox22 Temp,Airbox2 controller,Airbox controller,Inside Temp,Inside Temp for Airbox2,Telosb22,22,ATS-22 Inside Temp For Airbox2,ATS-22 Inside Temp For Airbox2,
ATS-61,ats61,Air Temp. Sensor,Telosb49.txt,1,DegC,AB-1,Airbox1&2,Telosb49 Ch 1,Telosb49,Sensirion Sht11 sensor,Temp,Air Temp at air diffuser near AirBox1,Telosb49,49,ATS-61 Air Temp At Air Diffuser Near Airbox1,ATS-61 Air Temp At Air Diffuser Near Airbox1,x
